	dir chrom start end
Glyma01g00210 - Gm01 27643 27978
Glyma01g00270 - Gm01 51481 61502
Glyma01g00280 - Gm01 61965 63428
Glyma01g00290 - Gm01 70898 71210
Glyma01g00300 - Gm01 90693 95580
Glyma01g00310 - Gm01 104684 106216
Glyma01g00320 + Gm01 116300 127990
Glyma01g00330 - Gm01 136544 138655
Glyma01g00380 + Gm01 170877 193446
Glyma01g00400 + Gm01 196424 202040
Glyma01g00410 + Gm01 205764 213610
Glyma01g00420 - Gm01 221875 225821
Glyma01g00430 - Gm01 227279 237945
Glyma01g00440 + Gm01 244179 244560
Glyma01g00450 + Gm01 248919 260637
Glyma01g00460 - Gm01 260800 269340
Glyma01g00470 + Gm01 269735 273995
Glyma01g00480 + Gm01 275574 278576
Glyma01g00490 + Gm01 281402 284938
Glyma01g00500 + Gm01 286057 288682
Glyma01g00510 - Gm01 291487 297462
Glyma01g00520 - Gm01 303950 308127
Glyma01g00530 + Gm01 318707 322901
Glyma01g00540 + Gm01 329250 331862
Glyma01g00550 - Gm01 332865 334841
Glyma01g00560 + Gm01 335283 337035
Glyma01g00570 + Gm01 339964 343362
Glyma01g00580 + Gm01 344018 344555
Glyma01g00590 + Gm01 346640 350011
Glyma01g00600 - Gm01 363449 365232
Glyma01g00610 + Gm01 370004 372382
Glyma01g00620 - Gm01 372780 375286
Glyma01g00630 + Gm01 377144 378834
Glyma01g00640 + Gm01 379246 381802
Glyma01g00650 - Gm01 381847 384315
Glyma01g00660 + Gm01 384776 386985
Glyma01g00670 - Gm01 387861 390922
Glyma01g00680 + Gm01 391613 396922
Glyma01g00690 - Gm01 397410 400521
Glyma01g00700 + Gm01 411368 413183
Glyma01g00710 + Gm01 415331 417645
Glyma01g00720 + Gm01 419047 423878
Glyma01g00730 + Gm01 425547 427838
Glyma01g00740 + Gm01 429473 430676
Glyma01g00750 - Gm01 431194 433007
Glyma01g00760 + Gm01 434482 437551
Glyma01g00770 - Gm01 439160 439492
Glyma01g00780 - Gm01 442090 445177
Glyma01g00790 + Gm01 447263 453180
Glyma01g00800 + Gm01 454185 455388
Glyma01g00810 - Gm01 458304 459177
Glyma01g00820 - Gm01 464751 466345
Glyma01g00830 - Gm01 491322 493622
Glyma01g00840 + Gm01 505409 508255
Glyma01g00850 + Gm01 512040 516295
